0,Бренд,Предмет,Артикул продавца,Артикул WB,Последний баркод,Текущая розн. цена (до скидки),"Текущая скидка на сайте, %",Минимальная цена,
214,P.I.T.,Аккумуляторы для электроинструмента,blandBos-18Li-ionblandBos-18Li-ion,112080557,2038685209621,2535,0,1800,
215,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-14,4-2,0blandMak-14,4-2,0",112921889,2038984992620,2215,6,1573,
216,P.I.T.,Аккумуляторы для электроинструмента,blandMak-18-3.0-LiblandMak-18-3.0-Li,113740937,2039572134620,3399,0,2413,
217,P.I.T.,Аккумуляторы для электроинструмента,blandHit-14.4-2.0blandHit-14.4-2.0,113745920,2039575208625,2420,0,1718,
218,P.I.T.,Аккумуляторы для электроинструмента,"blandHit-14,4-1,5blandHit-14,4-1,5",112915056,2038983149629,1995,6,1416,
219,P.I.T.,Аккумуляторы для электроинструмента,blandMak-18-1.5-LiblandMak-18-1.5-Li,113495640,2039420918624,2999,0,2129,
220,P.I.T.,Аккумуляторы для электроинструмента,"blandBos-12-1,5blandBos-12-1,5",111414046,2038040038620,1740,6,1235,
221,P.I.T.,Аккумуляторы для электроинструмента,blandBos-18-3.0-LiblandBos-18-3.0-Li,113496456,2039423773626,3845,0,2730,
222,P.I.T.,Аккумуляторы для электроинструмента,blandINT18-2.0.0NI-CDblandINT18-2.0.0NI-CD,111440723,2038046804625,2565,0,1821,
223,P.I.T.,Аккумуляторы для электроинструмента,blandBos-18-1.5-LiblandBos-18-1.5-Li,113492294,2039415592624,2695,0,1913,
224,P.I.T.,Аккумуляторы для электроинструмента,blandBos-18-2.0blandBos-18-2.0,113746868,2039575962626,2535,0,1800,
225,P.I.T.,Аккумуляторы для электроинструмента,blandBos-14.4-1.5-LiblandBos-14.4-1.5-Li,111419199,2038041486628,2210,6,1569,
226,P.I.T.,Аккумуляторы для электроинструмента,"blandBos-14,4-3,0-LiblandBos-14,4-3,0-Li",111447937,2038048064621,3410,6,2421,
227,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-14,4-1,5blandMak-14,4-1,5",112917085,2038983525621,1935,6,1374,
228,P.I.T.,Аккумуляторы для электроинструмента,blandMak-18-4.0-LiblandMak-18-4.0-Li,113741014,2039572304627,2000,0,1420,
229,P.I.T.,Аккумуляторы для электроинструмента,blandDew-12-1.5LiblandDew-12-1.5Li,111412548,2038039533624,1290,0,916,
230,P.I.T.,Аккумуляторы для электроинструмента,blandMak-18-5.0-LiblandMak-18-5.0-Li,113741339,2039572805629,2500,0,1775,
231,P.I.T.,Аккумуляторы для электроинструмента,"blandHit-12-1,5blandHit-12-1,5",113742465,2039572998628,1760,6,1250,
232,P.I.T.,Аккумуляторы для электроинструмента,blandINT14.2-2.0NI-CDblandINT14.2-2.0NI-CD,112923081,2038985309625,2200,0,1562,
233,P.I.T.,Аккумуляторы для электроинструмента,"blandBos-14,4-1,5blandBos-14,4-1,5",111461004,2038050752622,1950,6,1385,
234,P.I.T.,Аккумуляторы для электроинструмента,"blandHit-12-2,0blandHit-12-2,0",113744574,2039574041629,2215,6,1573,
235,P.I.T.,Аккумуляторы для электроинструмента,blandBos-12-2.0-NI-MHblandBos-12-2.0-NI-MH,111406313,2038037420629,2265,0,1608,
